Question,Answer
"Что нужно сделать, чтобы узнать остаток средств на своей карте?","Есть несколько способов узнать, сколько денег на карте: В СберБанк Онлайн просто найдите нужную карту Запросите у голосового помощника: позвоните на номер 900 со своего телефона, привязанного к смс-банку, и скажите «Баланс по карте» В банкомате: вставьте карту, введите ПИН-код  и  нажмите «Показать баланс» Отправьте на номер 900 смс-команду БАЛАНС 1234, где 1234 — последние 4 цифры карты Чтобы быстро узнавать о списаниях и зачислениях по карте, подключите уведомления об операциях (СМС и пуш-уведомления об операциях)."
"Как получить информацию о доступном балансе на банковской карте?","Есть несколько способов узнать, сколько денег на карте: В СберБанк Онлайн просто найдите нужную карту Запросите у голосового помощника: позвоните на номер 900 со своего телефона, привязанного к смс-банку, и скажите «Баланс по карте» В банкомате: вставьте карту, введите ПИН-код  и  нажмите «Показать баланс» Отправьте на номер 900 смс-команду БАЛАНС 1234, где 1234 — последние 4 цифры карты Чтобы быстро узнавать о списаниях и зачислениях по карте, подключите уведомления об операциях (СМС и пуш-уведомления об операциях)."
"Я забыл ПИН-код.","Создайте новый. Зайдите в мобильное приложение СберБанк Онлайн, найдите нужную карту и на её странице нажмите «Настройки» → «Установить ПИН-код». Дважды введите новый ПИН-код и нажмите «Сохранить». Сразу после этого вы сможете совершать бесконтактные платежи, но для оплаты классическим способом, вставляя карту в терминал, нужно активировать ПИН-код в банкомате. Для этого вставьте карту в банкомат, введите новый ПИН и запросите баланс."
"Что делать, если я забыл ПИН-код от своей карты?","Создайте новый. Зайдите в мобильное приложение СберБанк Онлайн, найдите нужную карту и на её странице нажмите «Настройки» → «Установить ПИН-код». Дважды введите новый ПИН-код и нажмите «Сохранить». Сразу после этого вы сможете совершать бесконтактные платежи, но для оплаты классическим способом, вставляя карту в терминал, нужно активировать ПИН-код в банкомате. Для этого вставьте карту в банкомат, введите новый ПИН и запросите баланс."
"Как восстановить ПИН-код банковской карты, если его забыли?","Создайте новый. Зайдите в мобильное приложение СберБанк Онлайн, найдите нужную карту и на её странице нажмите «Настройки» → «Установить ПИН-код». Дважды введите новый ПИН-код и нажмите «Сохранить». Сразу после этого вы сможете совершать бесконтактные платежи, но для оплаты классическим способом, вставляя карту в терминал, нужно активировать ПИН-код в банкомате. Для этого вставьте карту в банкомат, введите новый ПИН и запросите баланс."
"Какие шаги следует предпринять, если потерян ПИН-код к банковской карте?","Создайте новый. Зайдите в мобильное приложение СберБанк Онлайн, найдите нужную карту и на её странице нажмите «Настройки» → «Установить ПИН-код». Дважды введите новый ПИН-код и нажмите «Сохранить». Сразу после этого вы сможете совершать бесконтактные платежи, но для оплаты классическим способом, вставляя карту в терминал, нужно активировать ПИН-код в банкомате. Для этого вставьте карту в банкомат, введите новый ПИН и запросите баланс."
"Чему следует научиться, чтобы избежать забывания ПИН-кода к карте?","Создайте новый. Зайдите в мобильное приложение СберБанк Онлайн, найдите нужную карту и на её странице нажмите «Настройки» → «Установить ПИН-код». Дважды введите новый ПИН-код и нажмите «Сохранить». Сразу после этого вы сможете совершать бесконтактные платежи, но для оплаты классическим способом, вставляя карту в терминал, нужно активировать ПИН-код в банкомате. Для этого вставьте карту в банкомат, введите новый ПИН и запросите баланс."
"Какие процедуры предусмотрены банком для восстановления ПИН-кода, если он забыт?","Создайте новый. Зайдите в мобильное приложение СберБанк Онлайн, найдите нужную карту и на её странице нажмите «Настройки» → «Установить ПИН-код». Дважды введите новый ПИН-код и нажмите «Сохранить». Сразу после этого вы сможете совершать бесконтактные платежи, но для оплаты классическим способом, вставляя карту в терминал, нужно активировать ПИН-код в банкомате. Для этого вставьте карту в банкомат, введите новый ПИН и запросите баланс."
"Как снять деньги с карты?","Вы можете снять деньги 4 способами: Вставьте или приложите карту к банкомату. Приложите смартфон к банкомату. Чтобы снимать деньги таким способом, нужно иметь смартфон с операционной системой Android и привязать карту к SberPay или Мir Pay. Отсканируйте QR-код на экране банкомата. Зайдите в приложение СберБанк Онлайн → нажмите на иконку QR-кода на главной странице → отсканируйте код на экране банкомата. Приходите в магазины-партнёры. Вы сможете снять до 5000 рублей в любое время, пока работают магазины. Подробнее По картам Банка без комиссии можно снять за одну или несколько операций не более 1 млн рублей в течение календарного месяца. С 01.06.2024 лимит учитывается суммарно по всем дебетовым картам и Платежным счетам в банкоматах Банка, дочерних банков и других кредитных организаций. Комиссия на снятие в банкоматах свыше 1 млн в месяц не распространяется: На карты, выпущенные в рамках премиальных пакетов обслуживания На СберКарты и СберКарты Travel при наличии действующего  договора об обслуживании пакета услуг СберПремьер, СберПервый и Sber Private Banking  Visa Infinite Privilege, Visa Infinite Private «Аэрофлот», Мир Private «Аэрофлот», Visa Infinite Private «Аэрофлот» «Привилегированная», Visa Infinite Private «Аэрофлот» «Льготная», МИР Private  «Аэрофлот» «Привилегированная», МИР Private «Аэрофлот» «Льготная»"
"Как осуществить снятие наличных с банковской карты?","Вы можете снять деньги 4 способами: Вставьте или приложите карту к банкомату. Приложите смартфон к банкомату. Чтобы снимать деньги таким способом, нужно иметь смартфон с операционной системой Android и привязать карту к SberPay или Мir Pay. Отсканируйте QR-код на экране банкомата. Зайдите в приложение СберБанк Онлайн → нажмите на иконку QR-кода на главной странице → отсканируйте код на экране банкомата. Приходите в магазины-партнёры. Вы сможете снять до 5000 рублей в любое время, пока работают магазины. Подробнее По картам Банка без комиссии можно снять за одну или несколько операций не более 1 млн рублей в течение календарного месяца. С 01.06.2024 лимит учитывается суммарно по всем дебетовым картам и Платежным счетам в банкоматах Банка, дочерних банков и других кредитных организаций. Комиссия на снятие в банкоматах свыше 1 млн в месяц не распространяется: На карты, выпущенные в рамках премиальных пакетов обслуживания На СберКарты и СберКарты Travel при наличии действующего  договора об обслуживании пакета услуг СберПремьер, СберПервый и Sber Private Banking  Visa Infinite Privilege, Visa Infinite Private «Аэрофлот», Мир Private «Аэрофлот», Visa Infinite Private «Аэрофлот» «Привилегированная», Visa Infinite Private «Аэрофлот» «Льготная», МИР Private  «Аэрофлот» «Привилегированная», МИР Private «Аэрофлот» «Льготная»"
"Какие методы доступны для снятия денег с карты?","Вы можете снять деньги 4 способами: Вставьте или приложите карту к банкомату. Приложите смартфон к банкомату. Чтобы снимать деньги таким способом, нужно иметь смартфон с операционной системой Android и привязать карту к SberPay или Мir Pay. Отсканируйте QR-код на экране банкомата. Зайдите в приложение СберБанк Онлайн → нажмите на иконку QR-кода на главной странице → отсканируйте код на экране банкомата. Приходите в магазины-партнёры. Вы сможете снять до 5000 рублей в любое время, пока работают магазины. Подробнее По картам Банка без комиссии можно снять за одну или несколько операций не более 1 млн рублей в течение календарного месяца. С 01.06.2024 лимит учитывается суммарно по всем дебетовым картам и Платежным счетам в банкоматах Банка, дочерних банков и других кредитных организаций. Комиссия на снятие в банкоматах свыше 1 млн в месяц не распространяется: На карты, выпущенные в рамках премиальных пакетов обслуживания На СберКарты и СберКарты Travel при наличии действующего  договора об обслуживании пакета услуг СберПремьер, СберПервый и Sber Private Banking  Visa Infinite Privilege, Visa Infinite Private «Аэрофлот», Мир Private «Аэрофлот», Visa Infinite Private «Аэрофлот» «Привилегированная», Visa Infinite Private «Аэрофлот» «Льготная», МИР Private  «Аэрофлот» «Привилегированная», МИР Private «Аэрофлот» «Льготная»"
"Как процесс снятия наличных с карты обычно происходит?","Вы можете снять деньги 4 способами: Вставьте или приложите карту к банкомату. Приложите смартфон к банкомату. Чтобы снимать деньги таким способом, нужно иметь смартфон с операционной системой Android и привязать карту к SberPay или Мir Pay. Отсканируйте QR-код на экране банкомата. Зайдите в приложение СберБанк Онлайн → нажмите на иконку QR-кода на главной странице → отсканируйте код на экране банкомата. Приходите в магазины-партнёры. Вы сможете снять до 5000 рублей в любое время, пока работают магазины. Подробнее По картам Банка без комиссии можно снять за одну или несколько операций не более 1 млн рублей в течение календарного месяца. С 01.06.2024 лимит учитывается суммарно по всем дебетовым картам и Платежным счетам в банкоматах Банка, дочерних банков и других кредитных организаций. Комиссия на снятие в банкоматах свыше 1 млн в месяц не распространяется: На карты, выпущенные в рамках премиальных пакетов обслуживания На СберКарты и СберКарты Travel при наличии действующего  договора об обслуживании пакета услуг СберПремьер, СберПервый и Sber Private Banking  Visa Infinite Privilege, Visa Infinite Private «Аэрофлот», Мир Private «Аэрофлот», Visa Infinite Private «Аэрофлот» «Привилегированная», Visa Infinite Private «Аэрофлот» «Льготная», МИР Private  «Аэрофлот» «Привилегированная», МИР Private «Аэрофлот» «Льготная»"
"Что нужно сделать, чтобы снять деньги с банковской карты?","Вы можете снять деньги 4 способами: Вставьте или приложите карту к банкомату. Приложите смартфон к банкомату. Чтобы снимать деньги таким способом, нужно иметь смартфон с операционной системой Android и привязать карту к SberPay или Мir Pay. Отсканируйте QR-код на экране банкомата. Зайдите в приложение СберБанк Онлайн → нажмите на иконку QR-кода на главной странице → отсканируйте код на экране банкомата. Приходите в магазины-партнёры. Вы сможете снять до 5000 рублей в любое время, пока работают магазины. Подробнее По картам Банка без комиссии можно снять за одну или несколько операций не более 1 млн рублей в течение календарного месяца. С 01.06.2024 лимит учитывается суммарно по всем дебетовым картам и Платежным счетам в банкоматах Банка, дочерних банков и других кредитных организаций. Комиссия на снятие в банкоматах свыше 1 млн в месяц не распространяется: На карты, выпущенные в рамках премиальных пакетов обслуживания На СберКарты и СберКарты Travel при наличии действующего  договора об обслуживании пакета услуг СберПремьер, СберПервый и Sber Private Banking  Visa Infinite Privilege, Visa Infinite Private «Аэрофлот», Мир Private «Аэрофлот», Visa Infinite Private «Аэрофлот» «Привилегированная», Visa Infinite Private «Аэрофлот» «Льготная», МИР Private  «Аэрофлот» «Привилегированная», МИР Private «Аэрофлот» «Льготная»"
"Какие места предоставляют услуги по снятию наличных с карты?","Вы можете снять деньги 4 способами: Вставьте или приложите карту к банкомату. Приложите смартфон к банкомату. Чтобы снимать деньги таким способом, нужно иметь смартфон с операционной системой Android и привязать карту к SberPay или Мir Pay. Отсканируйте QR-код на экране банкомата. Зайдите в приложение СберБанк Онлайн → нажмите на иконку QR-кода на главной странице → отсканируйте код на экране банкомата. Приходите в магазины-партнёры. Вы сможете снять до 5000 рублей в любое время, пока работают магазины. Подробнее По картам Банка без комиссии можно снять за одну или несколько операций не более 1 млн рублей в течение календарного месяца. С 01.06.2024 лимит учитывается суммарно по всем дебетовым картам и Платежным счетам в банкоматах Банка, дочерних банков и других кредитных организаций. Комиссия на снятие в банкоматах свыше 1 млн в месяц не распространяется: На карты, выпущенные в рамках премиальных пакетов обслуживания На СберКарты и СберКарты Travel при наличии действующего  договора об обслуживании пакета услуг СберПремьер, СберПервый и Sber Private Banking  Visa Infinite Privilege, Visa Infinite Private «Аэрофлот», Мир Private «Аэрофлот», Visa Infinite Private «Аэрофлот» «Привилегированная», Visa Infinite Private «Аэрофлот» «Льготная», МИР Private  «Аэрофлот» «Привилегированная», МИР Private «Аэрофлот» «Льготная»"
"Какая комиссия за переводы в другой банк?","По номеру счёта. В СберБанк Онлайн комиссия 1%, но не больше 5000 ₽. При переводе в офисе — 2%, но не больше 5000 ₽. По номеру карты. В СберБанк Онлайн комиссия 1,5% от суммы перевода, но не меньше 30 ₽."
"Сколько обычно взимается комиссии за переводы между банками?","По номеру счёта. В СберБанк Онлайн комиссия 1%, но не больше 5000 ₽. При переводе в офисе — 2%, но не больше 5000 ₽. По номеру карты. В СберБанк Онлайн комиссия 1,5% от суммы перевода, но не меньше 30 ₽."
"Как определить размер комиссии за переводы в другие банки?","По номеру счёта. В СберБанк Онлайн комиссия 1%, но не больше 5000 ₽. При переводе в офисе — 2%, но не больше 5000 ₽. По номеру карты. В СберБанк Онлайн комиссия 1,5% от суммы перевода, но не меньше 30 ₽."
"Какие факторы могут влиять на величину комиссии за переводы в другой банк?","По номеру счёта. В СберБанк Онлайн комиссия 1%, но не больше 5000 ₽. При переводе в офисе — 2%, но не больше 5000 ₽. По номеру карты. В СберБанк Онлайн комиссия 1,5% от суммы перевода, но не меньше 30 ₽."
"Как узнать о размере комиссии за перевод в другой банк?","По номеру счёта. В СберБанк Онлайн комиссия 1%, но не больше 5000 ₽. При переводе в офисе — 2%, но не больше 5000 ₽. По номеру карты. В СберБанк Онлайн комиссия 1,5% от суммы перевода, но не меньше 30 ₽."
"Есть ли способы снижения комиссии за переводы между банками?","По номеру счёта. В СберБанк Онлайн комиссия 1%, но не больше 5000 ₽. При переводе в офисе — 2%, но не больше 5000 ₽. По номеру карты. В СберБанк Онлайн комиссия 1,5% от суммы перевода, но не меньше 30 ₽."
"Когда придёт перевод в другой банк?","Обычно в течение трёх дней, но иногда до пяти рабочих дней."
"Сколько времени обычно занимает перевод средств в другой банк?","Обычно в течение трёх дней, но иногда до пяти рабочих дней."
"Каковы обычные сроки поступления перевода в другой банк?","Обычно в течение трёх дней, но иногда до пяти рабочих дней."
"Как определить ожидаемое время поступления перевода на счёт в другом банке?","Обычно в течение трёх дней, но иногда до пяти рабочих дней."
"Как узнать, когда перевод будет доступен на счёте в другом банке?","Обычно в течение трёх дней, но иногда до пяти рабочих дней."
"Через какое время обычно происходит зачисление средств после перевода в другой банк?","Обычно в течение трёх дней, но иногда до пяти рабочих дней."
"Как узнать, прошёл ли мой платёж по карте СберБанка?","Чтобы узнать, исполнен ли ваш платёж, зайдите в мобильное приложение СберБанк Онлайн → «История» → найдите нужный платёж → «Сохранить или отправить справку» → найдите графу «Статус операции». Если в статусе написано «Обрабатывается банком», это значит, что платёж ещё ожидает подтверждения."
"Как проверить статус своего платежа по карте СберБанка?","Чтобы узнать, исполнен ли ваш платёж, зайдите в мобильное приложение СберБанк Онлайн → «История» → найдите нужный платёж → «Сохранить или отправить справку» → найдите графу «Статус операции». Если в статусе написано «Обрабатывается банком», это значит, что платёж ещё ожидает подтверждения."
"Как получить информацию о прохождении платежа через карту СберБанка?","Чтобы узнать, исполнен ли ваш платёж, зайдите в мобильное приложение СберБанк Онлайн → «История» → найдите нужный платёж → «Сохранить или отправить справку» → найдите графу «Статус операции». Если в статусе написано «Обрабатывается банком», это значит, что платёж ещё ожидает подтверждения."
"Что следует сделать, чтобы узнать, был ли успешно совершен платеж через карту СберБанка?","Чтобы узнать, исполнен ли ваш платёж, зайдите в мобильное приложение СберБанк Онлайн → «История» → найдите нужный платёж → «Сохранить или отправить справку» → найдите графу «Статус операции». Если в статусе написано «Обрабатывается банком», это значит, что платёж ещё ожидает подтверждения."
"Какие способы предоставляет СберБанк для отслеживания статуса платежа по карте?","Чтобы узнать, исполнен ли ваш платёж, зайдите в мобильное приложение СберБанк Онлайн → «История» → найдите нужный платёж → «Сохранить или отправить справку» → найдите графу «Статус операции». Если в статусе написано «Обрабатывается банком», это значит, что платёж ещё ожидает подтверждения."
"Есть ли онлайн-инструменты для мониторинга платежей через карту СберБанка?","Чтобы узнать, исполнен ли ваш платёж, зайдите в мобильное приложение СберБанк Онлайн → «История» → найдите нужный платёж → «Сохранить или отправить справку» → найдите графу «Статус операции». Если в статусе написано «Обрабатывается банком», это значит, что платёж ещё ожидает подтверждения."
"Что такое суточный и месячный лимит на операции по карте","Суточный и месячный лимит — это максимальная сумма, которую вы можете перевести с карты или снять в течение дня или месяца."
"Что представляют собой суточные и месячные лимиты на операции с банковской картой?","Суточный и месячный лимит — это максимальная сумма, которую вы можете перевести с карты или снять в течение дня или месяца."
"В чем состоит значение суточного и месячного лимитов при использовании банковской карты?","Суточный и месячный лимит — это максимальная сумма, которую вы можете перевести с карты или снять в течение дня или месяца."
"Что означают ограничения по количеству операций в день и в месяц при использовании банковской карты?","Суточный и месячный лимит — это максимальная сумма, которую вы можете перевести с карты или снять в течение дня или месяца."
"Что представляют собой суточные и ежемесячные ограничения на операции по банковской карте и как они влияют на использование карты?","Суточный и месячный лимит — это максимальная сумма, которую вы можете перевести с карты или снять в течение дня или месяца."
"Какие ограничения действуют на количество операций в сутки и в течение месяца при использовании кредитной или дебетовой карты?","Суточный и месячный лимит — это максимальная сумма, которую вы можете перевести с карты или снять в течение дня или месяца."
"С какими ограничениями я могу столкнуться","Мы можем ограничить: операции с наличными и безналичными деньгами зачисление денег на счёт оформление или перевыпуск карты доступ к онлайн-сервисам, например СберБанк Онлайн Если есть ограничения, вы сможете проводить операции только в офисе банка. При этом нужно будет предоставлять пояснения и подтверждающие документы."
"Какие могут быть ограничения при использовании моей банковской карты?","Мы можем ограничить: операции с наличными и безналичными деньгами зачисление денег на счёт оформление или перевыпуск карты доступ к онлайн-сервисам, например СберБанк Онлайн Если есть ограничения, вы сможете проводить операции только в офисе банка. При этом нужно будет предоставлять пояснения и подтверждающие документы."
"Существуют ли какие-либо ограничения на мои операции с банковской картой?","Мы можем ограничить: операции с наличными и безналичными деньгами зачисление денег на счёт оформление или перевыпуск карты доступ к онлайн-сервисам, например СберБанк Онлайн Если есть ограничения, вы сможете проводить операции только в офисе банка. При этом нужно будет предоставлять пояснения и подтверждающие документы."
"Какие ограничения могут быть на мои финансовые операции через карту?","Мы можем ограничить: операции с наличными и безналичными деньгами зачисление денег на счёт оформление или перевыпуск карты доступ к онлайн-сервисам, например СберБанк Онлайн Если есть ограничения, вы сможете проводить операции только в офисе банка. При этом нужно будет предоставлять пояснения и подтверждающие документы."
"Могут ли возникнуть ограничения при использовании моей кредитной или дебетовой карты?","Мы можем ограничить: операции с наличными и безналичными деньгами зачисление денег на счёт оформление или перевыпуск карты доступ к онлайн-сервисам, например СберБанк Онлайн Если есть ограничения, вы сможете проводить операции только в офисе банка. При этом нужно будет предоставлять пояснения и подтверждающие документы."
"Какие могут быть ограничения на мои финансовые транзакции при использовании пластиковой карты?","Мы можем ограничить: операции с наличными и безналичными деньгами зачисление денег на счёт оформление или перевыпуск карты доступ к онлайн-сервисам, например СберБанк Онлайн Если есть ограничения, вы сможете проводить операции только в офисе банка. При этом нужно будет предоставлять пояснения и подтверждающие документы."
"Что влияет на кредитный рейтинг?","Есть набор факторов, которые влияют на кредитный рейтинг. Вот главные: Просрочка исполнения обязательств Размер просроченной задолженности Период формирования кредитной истории Доля непогашенных требований по действующим обязательствам"
"Какие аспекты моей финансовой деятельности влияют на мой кредитный рейтинг?","Есть набор факторов, которые влияют на кредитный рейтинг. Вот главные: Просрочка исполнения обязательств Размер просроченной задолженности Период формирования кредитной истории Доля непогашенных требований по действующим обязательствам"
"Какие факторы могут повлиять на изменение моего кредитного рейтинга?","Есть набор факторов, которые влияют на кредитный рейтинг. Вот главные: Просрочка исполнения обязательств Размер просроченной задолженности Период формирования кредитной истории Доля непогашенных требований по действующим обязательствам"
"Какие вещи следует учитывать, чтобы поддерживать или улучшать мой кредитный рейтинг?","Есть набор факторов, которые влияют на кредитный рейтинг. Вот главные: Просрочка исполнения обязательств Размер просроченной задолженности Период формирования кредитной истории Доля непогашенных требований по действующим обязательствам"
"Какие факторы влияют на мой кредитный рейтинг?","Есть набор факторов, которые влияют на кредитный рейтинг. Вот главные: Просрочка исполнения обязательств Размер просроченной задолженности Период формирования кредитной истории Доля непогашенных требований по действующим обязательствам"
"Какие факторы я должен учитывать, чтобы мой кредитный рейтинг оставался высоким или улучшался?","Есть набор факторов, которые влияют на кредитный рейтинг. Вот главные: Просрочка исполнения обязательств Размер просроченной задолженности Период формирования кредитной истории Доля непогашенных требований по действующим обязательствам"
"Как подключить «Уведомления об операциях»?","В приложении СберБанк Онлайн, банкомате, позвонив по номеру 900 или в любом офисе банка."
"Как активировать функцию «Уведомления об операциях»?","В приложении СберБанк Онлайн, банкомате, позвонив по номеру 900 или в любом офисе банка."
"Как настроить получение уведомлений о финансовых операциях?","В приложении СберБанк Онлайн, банкомате, позвонив по номеру 900 или в любом офисе банка."
"Как подключить сервис уведомлений о совершенных операциях?","В приложении СберБанк Онлайн, банкомате, позвонив по номеру 900 или в любом офисе банка."
"Что нужно сделать, чтобы начать получать уведомления о своих финансовых операциях?","В приложении СберБанк Онлайн, банкомате, позвонив по номеру 900 или в любом офисе банка."
"Как можно включить опцию «Уведомления об операциях» для моего банковского счета?","В приложении СберБанк Онлайн, банкомате, позвонив по номеру 900 или в любом офисе банка."
"Сколько стоят уведомления об операциях?","Стоимость услуги 0 до 70 рублей в месяц, в зависимости от типа карты."
"Сколько стоят уведомления об операциях?","Стоимость услуги 0 до 70 рублей в месяц, в зависимости от типа карты."
"Есть ли плата за получение уведомлений о финансовых операциях?","Стоимость услуги 0 до 70 рублей в месяц, в зависимости от типа карты."
"Необходимо ли платить за использование функции уведомлений о совершенных операциях?","Стоимость услуги 0 до 70 рублей в месяц, в зависимости от типа карты."
"Есть ли дополнительные расходы за активацию уведомлений об операциях на счете?","Стоимость услуги 0 до 70 рублей в месяц, в зависимости от типа карты."
"Какие могут быть дополнительные расходы при использовании услуги "Уведомления об операциях"?","Стоимость услуги 0 до 70 рублей в месяц, в зависимости от типа карты."
"Потерял свою карту. Что делать?","Срочно заблокируйте карту: найдите её в СберБанк Онлайн и нажмите «Заблокировать». После этого банк выпустит новую карту."
"Какие шаги следует предпринять, если я потерял свою банковскую карту?","Срочно заблокируйте карту: найдите её в СберБанк Онлайн и нажмите «Заблокировать». После этого банк выпустит новую карту."
"Что делать в случае утери кредитной или дебетовой карты?","Срочно заблокируйте карту: найдите её в СберБанк Онлайн и нажмите «Заблокировать». После этого банк выпустит новую карту."
